head_x,head_y,health,width,height,closest_food_distance,move
9,9,100,2,down
9,8,99,1,down
9,7,98,2,down
9,6,97,3,down
9,5,96,4,down
9,4,95,4,down
9,3,94,5,down
9,2,93,6,down
9,1,92,7,left
8,1,91,6,up
8,2,90,5,up
8,3,89,4,up
8,4,88,3,up
8,5,87,3,up
8,6,86,4,up
8,7,85,3,up
8,8,84,2,up
8,9,83,3,left
7,9,82,2,down
7,8,81,3,right
8,8,80,2,up
8,9,79,3,right
9,9,78,2,down
9,8,77,1,down
9,7,76,2,down
9,6,75,3,down
9,5,74,4,down
9,4,73,5,down
9,3,72,5,down
9,2,71,6,down5,2,31,4,down
5,1,30,5,left
4,1,29,4,up
4,2,28,3,up
4,3,27,2,up
4,4,26,1,left
9,1,70,7,left
8,1,69,6,up
8,2,68,5,up
8,3,67,2,up
8,4,66,1,right
9,4,65,8,up
9,5,64,9,right
10,5,63,10,down
10,4,62,9,left
9,4,61,8,up
9,5,60,9,left
8,5,59,12,down
8,4,58,3,down
8,3,57,4,down
8,2,56,5,down
8,1,55,5,left
7,1,54,4,up
7,2,53,4,left
6,2,52,4,down
6,1,51,3,left
5,1,50,7,down
5,0,49,8,right
6,0,48,7,up
6,1,47,6,up
6,2,46,5,up
6,3,45,4,up
6,4,44,3,up
6,5,43,2,up
6,6,42,3,up
6,7,41,4,up
6,8,40,5,up
6,9,39,6,left
5,9,38,7,down
5,8,37,6,down
5,7,36,5,down
5,6,35,4,down
5,5,34,3,down
5,4,33,2,down
5,3,32,3,down

3,4,100,4,up
3,5,99,3,up
3,6,98,4,up
3,7,97,5,up
3,8,96,5,up
3,9,95,4,right
4,9,94,3,down
4,8,93,4,down
4,7,92,5,down
4,6,91,5,down
4,5,90,4,down
4,4,89,4,down
4,3,88,3,down
4,2,87,4,down
4,1,86,4,left
3,1,85,3,up
3,2,84,4,up
3,3,83,4,up
3,4,82,4,up
3,5,81,3,up
3,6,80,4,up
3,7,79,5,up
3,8,78,5,up
3,9,77,4,left
2,9,76,5,up
2,10,75,6,right
3,10,74,5,right
4,10,73,4,down
5,1,100,2,up
5,2,99,3,up
5,3,98,2,up
5,4,97,1,up
5,5,100,6,up
5,6,99,2,left
4,6,98,1,left
3,6,100,3,down
3,5,99,4,down
3,4,98,5,down
3,3,97,6,down
3,2,96,5,down
3,1,95,4,left
2,1,94,5,up
2,2,93,6,up
2,3,92,5,right
3,3,91,6,up
3,4,90,5,up
3,5,89,4,up
3,6,88,3,up
3,7,87,4,up
3,8,86,3,up
3,9,85,4,left
2,9,84,3,down
2,8,83,2,down
2,7,82,3,down
2,6,81,2,left
1,6,80,1,up
1,7,79,2,up
1,8,78,1,up
1,9,77,2,right
2,9,76,3,down
2,8,75,2,down
2,7,74,3,down
2,6,73,4,down
2,5,72,3,down
2,4,71,4,down
2,3,70,5,down
2,2,69,6,down
2,1,68,5,left
1,1,67,6,up
1,2,66,7,up
1,1,100,2,up
1,2,99,3,up
1,3,98,4,up
1,4,97,5,up
1,5,96,4,up
1,6,95,5,up
1,7,94,6,right
2,7,93,5,down
2,6,92,4,down
2,5,91,3,down
2,4,90,4,down
2,3,89,3,down
2,2,88,6,left
1,2,87,7,up
1,3,86,6,up
1,4,85,5,up
1,5,84,4,up
1,6,83,5,up
1,7,82,6,right
2,7,81,5,down
2,6,80,10,down
2,5,79,5,down
2,4,78,4,down
2,3,77,3,down
2,2,76,2,down
2,1,75,1,down
2,0,100,16,left
1,0,99,17,up
1,1,98,9,up
1,2,97,8,up
1,3,96,7,up
1,4,95,6,up
1,5,94,5,up
1,6,93,4,up
1,7,92,3,right
2,7,91,9,down
2,6,90,8,down
2,5,89,7,down
2,4,88,6,down
2,3,87,7,down
2,2,86,8,down
2,1,85,9,left
1,1,84,10,up
1,2,83,9,up
1,3,82,9,up
1,4,81,10,up
1,5,80,11,up
1,6,79,9,right
2,6,78,8,up
2,7,77,9,up
2,8,76,10,up
2,9,75,11,right
3,9,74,5,down
3,8,73,6,down
3,7,72,7,down
3,6,71,6,down
3,5,70,5,down
3,4,69,4,down
3,3,68,3,down
3,2,67,4,down
3,1,66,5,left
2,1,65,6,up
2,2,64,5,up
2,3,63,4,up
2,4,62,5,up
2,5,61,9,up
2,6,60,10,up
2,7,59,9,right
3,7,58,8,up
3,8,57,9,up
3,9,56,10,left
2,9,55,11,up
2,10,54,12,right
3,10,53,11,right
4,10,52,10,down
4,9,51,9,down
4,8,50,11,down
4,7,49,10,down
4,6,48,9,down
4,5,47,5,down
4,4,46,4,down
4,3,45,5,down
4,2,44,6,down
4,1,43,7,left
3,1,42,8,up
3,2,41,7,up
3,3,40,6,up
3,4,39,5,up
3,5,38,6,up
3,6,37,7,up
3,7,36,8,up
3,8,35,9,up
3,9,34,13,right
4,9,33,12,down
4,8,32,11,down
